distance,status,duration,fuel_consumed,percentage,remainingFuel,datetime
111,3,10002,108.0,87,751.0,2025-03-05 05:51:26.774675+00:00
111,3,10910,0.0,87,751.0,2025-03-05 06:06:35.139118+00:00
111,3,11819,0.0,87,751.0,2025-03-05 06:21:44.089041+00:00
110,3,12728,0.0,87,752.0,2025-03-05 06:36:52.463215+00:00
110,3,13636,0.0,87,752.0,2025-03-05 06:52:00.868697+00:00
111,3,14544,0.0,87,751.0,2025-03-05 07:07:09.163799+00:00
111,3,15453,0.0,87,751.0,2025-03-05 07:22:18.763462+00:00
110,3,16362,0.0,87,752.0,2025-03-05 07:37:27.556916+00:00
111,3,17271,1.0,87,751.0,2025-03-05 07:52:37.184516+00:00
111,3,18181,0.0,87,751.0,2025-03-05 08:07:45.982505+00:00
110,3,19090,0.0,87,752.0,2025-03-05 08:22:54.946984+00:00
109,3,19998,0.0,87,753.0,2025-03-05 08:38:03.860387+00:00
110,3,20907,1.0,87,752.0,2025-03-05 08:53:12.359595+00:00
110,3,21816,0.0,87,752.0,2025-03-05 09:08:20.964017+00:00
110,3,22724,0.0,87,752.0,2025-03-05 09:23:30.271591+00:00
110,3,23634,0.0,87,752.0,2025-03-05 09:38:39.006656+00:00
110,3,24543,0.0,87,752.0,2025-03-05 09:53:47.593905+00:00
110,3,25451,0.0,87,752.0,2025-03-05 10:08:59.600647+00:00
110,3,26363,0.0,87,752.0,2025-03-05 10:24:08.238155+00:00
110,3,27272,0.0,87,752.0,2025-03-05 10:39:16.885865+00:00
110,3,28180,0.0,87,752.0,2025-03-05 10:54:25.062633+00:00
110,3,29089,0.0,87,752.0,2025-03-05 11:09:33.723803+00:00
110,3,29997,0.0,87,752.0,2025-03-05 11:24:42.404697+00:00
110,3,30906,0.0,87,752.0,2025-03-05 11:39:51.520712+00:00
110,3,31815,0.0,87,752.0,2025-03-05 11:55:00.464043+00:00
111,3,32724,0.0,87,751.0,2025-03-05 12:10:09.994171+00:00
110,3,33634,0.0,87,752.0,2025-03-05 12:25:19.001796+00:00
111,3,34543,0.0,87,751.0,2025-03-05 12:40:28.222935+00:00
110,3,35452,0.0,87,752.0,2025-03-05 12:55:35.905873+00:00
110,3,36359,0.0,87,752.0,2025-03-05 13:10:45.452165+00:00
110,3,37269,0.0,87,752.0,2025-03-05 13:25:54.291737+00:00
111,3,38178,0.0,87,751.0,2025-03-05 13:41:03.264319+00:00
110,3,39087,0.0,87,752.0,2025-03-05 13:56:12.619465+00:00
110,3,39996,0.0,87,752.0,2025-03-05 14:11:21.781777+00:00
110,3,40905,0.0,87,752.0,2025-03-05 14:26:31.486993+00:00
110,3,41815,0.0,87,752.0,2025-03-05 14:41:40.419506+00:00
110,3,42724,0.0,87,752.0,2025-03-05 14:56:49.645573+00:00
110,3,43633,0.0,87,752.0,2025-03-05 15:11:59.143029+00:00
120,3,44543,9.0,86,742.0,2025-03-05 15:27:08.394667+00:00
110,3,45452,0.0,87,752.0,2025-03-05 15:42:17.911054+00:00
109,3,46361,0.0,87,753.0,2025-03-05 15:57:27.260076+00:00
110,3,47271,0.0,87,752.0,2025-03-05 16:12:36.543347+00:00
120,3,48180,10.0,85,742.0,2025-03-05 16:27:48.602189+00:00
122,3,49092,1.0,85,740.0,2025-03-05 16:42:57.931296+00:00
111,3,50001,0.0,87,751.0,2025-03-05 16:58:07.807529+00:00
112,3,50911,0.0,87,750.0,2025-03-05 17:13:16.532436+00:00
120,3,51820,8.0,86,742.0,2025-03-05 17:28:25.865567+00:00
110,3,52729,0.0,87,752.0,2025-03-05 17:43:35.850982+00:00
111,3,53639,0.0,87,751.0,2025-03-05 17:58:44.913461+00:00
114,3,54548,2.0,86,748.0,2025-03-05 18:13:54.222663+00:00
115,3,55458,0.0,86,747.0,2025-03-05 18:29:03.423788+00:00
111,3,56367,0.0,87,751.0,2025-03-05 18:44:12.077520+00:00
112,3,57275,0.0,87,750.0,2025-03-05 18:59:23.115519+00:00
111,3,58187,0.0,87,751.0,2025-03-05 19:14:31.976723+00:00
111,3,60020,0.0,87,751.0,2025-03-05 19:45:06.445499+00:00
122,3,60930,11.0,85,740.0,2025-03-05 20:00:15.119889+00:00
111,3,61839,0.0,87,751.0,2025-03-05 20:15:24.339566+00:00
111,3,62748,0.0,87,751.0,2025-03-05 20:30:33.709803+00:00
122,3,63657,10.0,85,740.0,2025-03-05 20:45:46.143817+00:00
111,3,64570,0.0,87,751.0,2025-03-05 21:00:55.039681+00:00
134,3,65478,23.0,84,728.0,2025-03-05 21:16:04.028417+00:00
111,3,66387,0.0,87,751.0,2025-03-05 21:31:12.879768+00:00
111,3,67296,0.0,87,751.0,2025-03-05 21:46:24.849168+00:00
123,3,68208,11.0,85,739.0,2025-03-05 22:01:36.864185+00:00
143,3,69120,20.0,83,719.0,2025-03-05 22:16:47.634478+00:00
123,3,70031,0.0,85,739.0,2025-03-05 22:31:59.270413+00:00
112,3,70943,0.0,86,750.0,2025-03-05 22:47:08.758020+00:00
112,3,72777,0.0,86,750.0,2025-03-05 23:17:51.332977+00:00
112,3,73695,0.0,86,750.0,2025-03-05 23:33:00.885552+00:00
113,3,75535,0.0,86,749.0,2025-03-06 00:03:39.922851+00:00
113,3,76443,0.0,86,749.0,2025-03-06 00:18:49.021051+00:00
